TDM_X         TDM_Y         TDM_Z         Oscillator Strength
0.54546073    -0.14181253   -0.06850740   0.02020000    
0.27112815    0.09473670    0.28958565    0.01050000    
0.01420810    0.03325733    -0.29747931   0.00500000    
0.34265437    -0.15953446   -0.32584309   0.01570000    
0.44864016    0.00909295    -0.46560931   0.02730000    
0.20074582    0.10010034    0.33059794    0.01030000    
-0.14545389   -0.02348044   0.58215699    0.02390000    
0.22284773    0.21905255    0.53868021    0.02290000    
0.06884978    -0.04096220   -0.24133963   0.00390000    
0.15066602    -0.01253935   -0.15761385   0.00220000    
0.02639394    0.14249318    0.44278626    0.01300000    
-0.12836068   0.03437712    0.22770147    0.00340000    
0.22024783    0.05894389    -0.14226230   0.00440000    
0.11111623    -0.14846444   -0.37867329   0.01120000    
-0.58288084   0.05677460    0.20320205    0.02440000    
0.21001168    -0.10448632   -0.26632081   0.00730000    
-0.22970702   0.07810291    -0.25754229   0.00780000    
-0.14617961   0.12763585    0.74845557    0.03990000    
-0.00307681   0.07922437    0.46247841    0.01400000    
0.28960600    0.05842371    0.21664243    0.00940000    
-0.16925788   -0.34092915   -0.76387637   0.05310000    
-0.20390029   0.06656646    0.19275425    0.00610000    
-0.14726771   -0.05392593   -0.52730850   0.01970000    
0.21979698    0.34526452    0.72944543    0.04290000    
0.00120973    0.15728454    0.42841305    0.01370000    
-0.18455280   0.03559419    0.24921278    0.00540000    
-0.06066446   0.03449416    0.39530287    0.01020000    
0.23134625    -0.14219746   0.30872649    0.01170000    
-0.18447418   0.05122197    0.35729606    0.01070000    
0.12272389    -0.11415542   -0.44424990   0.01190000    
-0.14292352   0.03081965    -0.27738181   0.00510000    
0.02401854    0.08273727    0.26427430    0.00520000    
-0.15389050   0.22606864    0.46207801    0.01950000    
0.20094663    0.19133551    0.52067214    0.02290000    
-0.07278700   -0.05285406   -0.34089975   0.00850000    
0.02192619    0.20016307    0.37936915    0.01210000    
0.24692829    0.08033391    0.30356750    0.00980000    
-0.08418942   -0.09164761   -0.45170091   0.01470000    
0.07131312    -0.24732389   -0.77839206   0.04470000    
-0.03773189   0.11183178    0.34441813    0.00830000    
-0.20798146   0.10413591    0.33614896    0.01110000    
0.74185244    0.00734727    -0.39017377   0.04110000    
0.29711569    -0.02960902   -0.19913119   0.00810000    
-0.22609016   -0.06965099   -0.23663769   0.00680000    
-0.18732983   0.04936458    0.67138900    0.03520000    
-0.34503863   0.05122848    0.33243050    0.01320000    
0.15860228    0.07265931    0.57754349    0.02700000    
-0.18656538   0.20941457    0.41418719    0.01720000    
-0.11528474   0.23003217    0.48456554    0.01920000    
-0.14256759   0.15586709    0.55481229    0.02520000    
-0.08210053   0.05544070    0.31673357    0.00700000    
0.02900834    0.07939004    0.25068210    0.00410000    
-0.04655457   0.07720102    -0.44124489   0.01220000    
0.04132948    0.04461373    0.77854602    0.04190000    
0.33933449    0.02889885    0.42053189    0.01870000    
0.24257479    -0.02194125   0.35749930    0.01210000    
-0.02127547   0.05233872    0.32673279    0.00610000    
-0.13300877   0.09197260    0.33126800    0.00760000    
-0.33333182   -0.01251579   0.20928207    0.01100000    
-0.19422060   -0.01326953   -0.36033069   0.01060000    
-0.04115382   0.13727847    0.47495561    0.01620000    
0.30851191    0.04150135    0.19102979    0.00950000    
-0.05826444   0.00385164    -0.34542542   0.00760000    
-0.00906084   0.03441476    -0.25472092   0.00370000    
0.20128454    -0.07134572   -0.25176031   0.00730000    
0.74602731    0.01789887    0.26614860    0.04100000    
0.50955736    0.18124666    -0.64623935   0.03760000    
0.19796643    -0.07200619   -0.28912430   0.00900000    
0.24026726    0.17742062    0.68748860    0.03430000    
-0.04902193   0.08881037    0.43873334    0.01320000    
-0.06328867   -0.02647557   -0.50036746   0.01540000    
-0.16081645   -0.00288568   -0.29615444   0.00640000    
0.23270915    0.07973141    0.32940984    0.01030000    
0.08837012    0.08575531    0.31729393    0.00680000    
0.15684641    0.04525639    -0.53246232   0.01830000    
0.11005250    0.15313097    0.59621939    0.02760000    
0.14107669    -0.02265610   -0.43864997   0.01250000    
0.56184194    0.02324005    -0.00060094   0.01980000    
0.34919261    0.04048498    0.62236721    0.03210000    
0.06876143    -0.00447079   -0.27829426   0.00340000    
-0.46743877   0.17739091    0.26227067    0.01920000    
0.29109741    -0.06092190   -0.28389342   0.01020000    
0.35053645    0.16220355    0.42979387    0.02240000    
-0.27863989   0.04291936    0.40365702    0.01360000    
0.23164309    0.11949627    0.55281771    0.02610000    
-0.26284195   -0.08246209   -0.32110113   0.01300000    
-0.17404320   -0.03416361   0.45696036    0.01810000    
-0.01656708   0.12724692    0.56382949    0.01960000    
-0.26025422   0.02540317    -0.33727077   0.01220000    
-0.10277422   0.02731741    0.35783951    0.00910000    
0.53990720    0.08641749    0.30371428    0.02330000    
-0.06025074   -0.15193887   -0.47076299   0.01360000    
-0.23171819   0.13594278    0.36603639    0.01220000    
-0.38876716   -0.15427238   -0.60132435   0.03550000    
-0.51908441   0.15978695    0.58406606    0.04670000    
-0.38879483   0.18338728    0.33749538    0.01860000    
-0.84367788   0.26570721    0.48159303    0.06280000    
-0.09713788   -0.13051661   -0.32144123   0.00730000    
0.26836854    0.07351611    0.43495113    0.01890000    
0.38518164    -0.10791582   -0.27924134   0.01380000    
-0.02029954   -0.02262504   0.34203393    0.00700000    
-0.12744496   0.08610787    0.35977786    0.01020000    
0.47865716    -0.04322881   0.28976482    0.01960000    
0.04911433    0.10117099    0.31782603    0.00680000    
0.07215720    0.06754692    0.70224071    0.03520000    
0.23229516    0.02716832    0.41863564    0.01520000    
0.37353429    0.03868436    0.34502105    0.01460000    
-0.25576450   -0.05753985   -0.34114211   0.01000000    
0.00930259    -0.06479170   -0.29332746   0.00610000    
0.19772698    0.07350246    0.52102409    0.01880000    
0.20583742    0.24171002    0.50071400    0.02390000    
0.73845499    0.22921308    0.75505405    0.07610000    
-0.27522095   -0.21878290   -0.71346470   0.04560000    
0.52390541    -0.22271757   -0.37177829   0.03180000    
0.21169488    -0.04187714   -0.35110012   0.01200000    
-0.13030453   0.04346455    0.31871155    0.00830000    
0.15353987    0.06812341    -0.42288828   0.01400000    
0.07824229    0.24666451    0.56934150    0.02540000    
0.36294302    0.13082309    0.40933989    0.02080000    
-0.19235629   0.09537874    0.34778183    0.01170000    
-0.15774261   -0.11085447   -0.66426583   0.03210000    
-0.06908485   -0.06540105   -0.38986745   0.01070000    
-0.30301788   -0.22729893   -0.54244728   0.02600000    
0.05082942    0.12598656    0.49359206    0.01640000    
0.39676055    -0.14874913   -0.38390484   0.02120000    
-0.05413817   -0.06774603   -0.38884072   0.01000000    
-0.36402715   -0.13385062   -0.36854972   0.01590000    
0.24674417    0.04448655    -0.60488941   0.02950000    
-0.08123458   -0.01571484   0.64183505    0.02920000    
-0.01370361   0.19349486    0.45439846    0.01420000    
0.09015201    0.05828174    0.31458995    0.00640000    
-0.12295771   -0.10043831   -0.48783150   0.01750000    
-0.17203846   0.12280227    0.43943384    0.01310000    
0.31652945    -0.14598811   -0.40359285   0.01790000    
-0.16339360   0.09793026    0.54141664    0.01870000    
-0.42268283   0.21667763    0.49965557    0.03560000    
0.04360061    0.07434374    -0.40807885   0.01210000    
-0.06261512   0.05001320    -0.23222861   0.00430000    
0.09889031    0.20179419    0.54986295    0.02470000    
0.21149054    -0.01055493   -0.23166440   0.00600000    
0.51973727    0.11856710    0.48746777    0.02990000    
-0.12670371   0.03894350    0.34595840    0.00790000    
-0.15451865   0.18581416    0.51026498    0.01910000    
-0.03300664   -0.18069204   -0.59849715   0.03040000    
0.43040006    0.07060830    0.34483207    0.01930000    
-0.45396423   0.07545305    0.17527008    0.01520000    
0.10271358    0.02320757    -0.42479264   0.01360000    
-0.18058600   -0.21643232   -0.59149657   0.03100000    
-0.00982824   0.00685228    0.68621398    0.03240000    
0.05680020    0.02075624    0.47617558    0.01440000    
0.48808010    -0.12791726   -0.20441045   0.01730000    
0.22870259    0.01997691    0.35207201    0.00960000    
0.14543890    0.12274196    0.57959937    0.02170000    
0.17326880    0.11310178    0.44050294    0.01560000    
0.00756584    -0.14760657   -0.45375961   0.01170000    
0.10982080    0.02138920    0.14884026    0.00230000    
0.03599032    0.02146119    0.24280180    0.00380000    
-0.17520715   0.08082396    0.26713778    0.00730000    
0.14843743    0.03123407    -0.40565266   0.01160000    
0.57630200    -0.09755154   -0.13590256   0.02380000    
-0.59850393   0.18704354    0.59315442    0.04930000    
0.44057619    0.18015859    -0.38421025   0.02040000    
-0.29835173   -0.02760473   -0.86410528   0.04650000    
0.79006774    0.12166874    0.02511931    0.04230000    
0.48392764    0.00312850    -0.22234343   0.01740000    
0.81864850    -0.10712550   0.11204336    0.04780000    
-0.10467688   0.12451375    -0.54758165   0.02240000    
0.32752719    -0.12802746   -0.17359126   0.00830000    
-0.10814266   0.10815997    0.48324789    0.01590000    
-0.07877626   -0.09160082   -0.46996104   0.01450000    
-0.18290537   -0.02684299   0.24088906    0.00620000    
-0.11059595   0.22321348    0.40384374    0.01660000    
-0.16091778   -0.05440659   -0.39599981   0.01010000    
-0.09018829   -0.04239352   0.43466585    0.01300000    
0.24388160    0.04360508    -0.48112702   0.01780000    
-0.07371128   0.15930791    0.39043274    0.01190000    
-0.34706853   -0.04731965   0.22014519    0.00970000    
-0.15866135   0.27902534    0.50990494    0.02350000    
0.39601453    0.15235004    0.75632543    0.04610000    
0.07767622    0.12141495    -0.39766245   0.01190000    
-0.26431366   -0.08331780   -0.56403373   0.02530000    
-0.41325880   0.14482862    0.26213629    0.01560000    
0.22179545    -0.02406633   0.45363986    0.01300000    
0.13988085    0.10443347    0.65066204    0.02810000    
0.56701832    0.18180866    0.63631381    0.04760000    
0.63944703    -0.12270895   0.16953970    0.03150000    
0.45164254    0.08047868    0.15169251    0.01380000    
0.16125309    -0.34076840   -0.94636097   0.06110000    
0.31327645    0.03842588    -0.13812968   0.00710000    
-0.27762987   0.10346988    0.50225903    0.02090000    
0.30110812    -0.07839449   -0.50054440   0.02030000    
0.40576334    -0.05597883   -0.30494928   0.01770000    
0.24405300    -0.05551155   -0.25802933   0.00650000    
0.05533362    0.06899887    0.37442944    0.01120000    
0.01121588    0.06671668    0.49191992    0.01780000    
0.39800411    0.03932451    0.34504877    0.01660000    
0.67600616    -0.16435322   -0.27361511   0.03690000    
0.12621804    0.00589524    -0.33479493   0.00590000    
-0.22993561   0.24006865    0.46193935    0.02210000    
-0.07071543   0.03557413    0.45221292    0.01240000    
0.14320274    -0.08271478   -0.50826763   0.01630000    
-0.17998590   0.17417788    0.49271173    0.02030000    
-0.06933510   -0.15458630   -0.48804949   0.01520000    
-0.57442543   0.03000404    -0.52776260   0.03580000    
-0.10538847   0.16405145    0.70646096    0.03760000    
-0.06770078   -0.00280835   -0.64231546   0.02470000    
0.50236171    -0.10421889   -0.23446986   0.01760000    
-0.21820928   -0.17466577   -0.54515043   0.02010000    
-0.14910606   0.07259267    -0.71347027   0.03750000    
-0.54031322   -0.23650437   -0.36891934   0.03300000    
0.33318656    0.08463625    -0.30083401   0.01420000    
-0.72757581   -0.16499688   -0.38822735   0.04540000    
0.21473039    0.09428801    0.54956819    0.02060000    
-0.02730085   0.06082848    0.46567398    0.01420000    
-0.30523924   0.22244350    0.12192964    0.00970000    
-0.04355653   0.21233889    0.45179481    0.01290000    
-0.50102757   -0.01600111   -0.05780957   0.01710000    
0.38887054    0.12946827    0.40231237    0.02220000    
0.19929159    -0.04656121   0.22605735    0.00540000    
0.11163754    -0.32079834   -0.47075979   0.01830000    
-0.33637695   -0.06904881   -0.09700933   0.00830000    
