mol,sn,Mult,eV,nm,f,orb,tdmx,tdmy,tdmz,dips,tvdmx,tvdmy,tvdmz,dipsv,tmdmx,tmdmy,tmdmz,rotxx,rotyy,rotzz,R,EMangle,rotlxx,rotlyy,rotlzz,Rl
hod0331,1,Singlet,2.3795,521.06,0.0173,H-L:0.829;H2-L:0.116,0.4928,-0.2256,0.0512,0.2964,-0.0419,0.0201,-0.0017,0.0022,0.0152,0.2245,0.2037,15.3053,-0.5895,13.8464,9.5207,75.51,-5.3027,35.8267,-7.3671,7.7189
hod0332,1,Singlet,2.2219,558.01,0.0096,H-L:0.876;H1-L:0.044,0.2260,0.3533,0.0276,0.1767,-0.0198,-0.0277,-0.0062,0.0012,-0.0646,-0.0748,-0.0829,7.3324,8.4447,17.7209,11.1660,30.02,10.3266,18.6899,1.6162,10.2109
hod0333,1,Singlet,2.3773,521.53,0.0217,H1-L:0.825;H2-L:0.073,0.1794,0.5828,-0.0177,0.3722,-0.0160,-0.0507,-0.0014,0.0028,0.0268,-0.2672,-0.2144,59.3714,3.4516,45.9081,36.2437,42.72,-3.3995,110.1421,-2.6781,34.6882
hod0334,1,Singlet,2.6954,459.98,0.0156,H-L:0.877;H-L1:0.04,0.1667,0.4550,-0.0452,0.2369,-0.0165,-0.0449,0.0026,0.0023,-0.1974,-0.0246,-0.2366,11.6886,5.0583,10.0228,8.9233,75.33,23.2666,7.9153,-7.5636,7.8727
hod0335,1,Singlet,2.0983,590.87,0.0117,H-L:0.898;H2-L:0.031,-0.0176,-0.4761,0.0276,0.2278,0.0019,0.0368,-0.0060,0.0014,-0.0916,0.2878,0.1832,35.1164,-6.0790,56.4761,28.5045,45.04,-1.1370,96.8864,-3.5742,30.7251
hod0336,1,Singlet,2.7467,451.39,0.0023,H-L:0.9;H-L1:0.048,0.1072,0.1520,-0.0087,0.0347,-0.0115,-0.0150,-0.0029,0.0004,-0.0897,0.0448,-0.0456,-2.0277,3.8123,1.6470,1.1439,76.54,6.8010,-4.8192,-0.2794,0.5674
hod0337,1,Singlet,2.528,490.44,0.0038,H-L:0.909;H-L1:0.021,0.0370,0.2434,-0.0098,0.0607,-0.0039,-0.0224,-0.0029,0.0005,-0.1121,-0.0166,-0.0129,0.1226,2.6639,3.6982,2.1615,70.97,2.9316,2.8639,-0.0895,1.9020
hod0338,1,Singlet,2.7614,448.99,0.0073,H-L:0.728;H-L1:0.228,-0.1684,-0.2695,0.0872,0.1086,0.0170,0.0277,-0.0048,0.0011,0.0869,-0.0239,0.2083,-1.8600,-0.5486,1.0659,-0.4476,91.48,10.3458,-4.5466,-12.8409,-2.3472
hod0339,1,Singlet,2.5345,489.18,0.0116,H1-L:0.719;H-L:0.197,0.1406,-0.4050,-0.0614,0.1876,-0.0137,0.0383,0.0021,0.0017,-0.0970,0.0133,-0.2605,2.5506,2.1648,5.1081,3.2745,83.45,9.6481,3.8137,-11.3126,0.7164
hod0340,1,Singlet,2.6998,459.24,0.0238,H-L:0.757;H-L1:0.184,0.5734,-0.1692,0.0519,0.3601,-0.0551,0.0168,-0.0076,0.0034,0.0550,0.3197,0.3283,10.0677,-8.7517,-2.4161,-0.3667,90.33,-22.2938,38.2544,-12.0397,1.3070
hod0341,1,Singlet,2.7032,458.66,0.0493,H-L:0.557;H1-L:0.278,-0.5726,0.6431,-0.0598,0.7450,0.0546,-0.0640,0.0079,0.0071,-0.0096,-0.1058,0.4583,62.2438,21.1200,-12.9198,23.4813,75.59,-3.8845,48.1310,19.3970,21.2145
hod0342,1,Singlet,2.225,557.24,0.0204,H-L:0.933,0.4502,-0.3674,-0.1911,0.3742,-0.0356,0.0293,0.0131,0.0023,-0.2812,0.1250,-0.3267,9.4821,15.7094,56.0454,27.0789,64.08,89.5026,32.4759,-44.1410,25.9459
hod0343,1,Singlet,2.2713,545.87,0.0465,H-L:0.865;H-L1:0.058,-0.3213,-0.8541,-0.0611,0.8365,0.0260,0.0695,0.0027,0.0055,0.1524,-0.0869,-0.6051,-0.2560,4.6656,-35.9711,-10.5205,94.57,34.6283,-52.5171,-26.1442,-14.6777
hod0344,1,Singlet,2.6962,459.84,0.0423,H1-L:0.329;H-L:0.309,0.7945,-0.0129,-0.0908,0.6396,-0.0770,0.0022,0.0063,0.0060,0.0278,0.4295,0.2666,2.2111,-18.9422,20.1786,1.1491,89.29,-15.5922,3.9096,17.1192,1.8122
hod0345,1,Singlet,2.4983,496.28,0.0174,H-L:0.814;H-L1:0.122,0.4835,-0.2231,0.0093,0.2837,-0.0435,0.0202,0.0019,0.0023,0.1277,0.0440,-0.1822,0.9330,-27.0250,-12.4579,-12.8499,117.35,-43.6500,6.9385,1.1928,-11.8396
hod0346,1,Singlet,2.81,441.22,0.0478,H-L:0.602;H2-L:0.177,0.8186,0.0482,0.1476,0.6942,-0.0824,-0.0050,-0.0131,0.0070,-0.1803,0.1839,0.5877,-16.0866,51.3941,7.3410,14.2162,83.33,104.3811,-6.2645,-61.3321,12.2615
hod0347,1,Singlet,2.7978,443.15,0.0224,H-L:0.871;H-L1:0.067,-0.1157,-0.5403,-0.1449,0.3264,0.0105,0.0548,0.0117,0.0032,0.2337,0.0853,-0.3824,11.8394,-7.7653,14.2078,6.0940,84.13,19.1306,32.5903,-39.1924,4.1762
hod0348,1,Singlet,2.1947,564.92,0.0083,H-L:0.918;H1-L:0.025,0.3329,0.1694,-0.1195,0.1538,-0.0266,-0.0147,0.0064,0.0010,-0.0570,0.0937,-0.2366,-7.7068,-2.7184,-1.5760,-4.0004,99.75,13.4165,-11.2182,-19.9977,-5.9331
hod0349,1,Singlet,2.5216,491.69,0.0159,H-L:0.664;H1-L:0.245,-0.0953,0.4976,-0.0153,0.2570,0.0071,-0.0456,-0.0006,0.0021,-0.2165,-0.1823,0.1014,26.6653,-4.0687,28.5496,17.0487,61.10,-14.5909,64.1445,1.0941,16.8825
hod0350,1,Singlet,2.5148,493.02,0.0145,H-L:0.774;H2-L:0.074,-0.0757,-0.4793,0.0009,0.2354,0.0075,0.0445,-0.0034,0.0020,-0.1893,0.0213,0.1639,-1.4914,-4.1028,-2.1924,-2.5956,95.14,-10.1388,7.2228,-0.0988,-1.0049
hod0351,1,Singlet,2.7422,452.14,0.0062,H-L:0.911;H-L1:0.039,-0.1746,0.2409,0.0607,0.0922,0.0152,-0.0234,-0.0082,0.0008,-0.1855,-0.2348,0.0359,20.2632,-7.8935,4.3301,5.5666,74.25,-22.9053,40.0016,-1.5403,5.1853
hod0352,1,Singlet,3.0024,412.95,0.0166,H-L:0.52;H1-L:0.196,-0.0784,0.4542,-0.1127,0.2251,0.0060,-0.0498,0.0094,0.0026,-0.2830,-0.4604,0.1682,65.3227,-1.7193,82.5608,48.7214,37.86,-15.6950,147.8820,13.4072,48.5314
hod0353,1,Singlet,2.2255,557.11,0.0101,H-L:0.891;H1-L:0.037,-0.1614,-0.3995,0.0045,0.1857,0.0134,0.0338,0.0019,0.0013,0.0516,0.0643,0.0304,11.0413,2.9514,11.2778,8.4235,24.03,5.8910,18.1620,-0.0958,7.9857
hod0354,1,Singlet,2.6782,462.93,0.013,H-L:0.654;H1-L:0.206,-0.0783,0.4256,0.1077,0.1988,0.0082,-0.0420,-0.0071,0.0019,0.2015,-0.1097,0.2564,18.2394,-2.7108,16.3282,10.6189,72.73,11.1620,33.0203,-19.5371,8.2150
hod0355,1,Singlet,2.4842,499.1,0.0178,H-L:0.92;H-L1:0.023,0.2414,-0.4715,-0.1108,0.2929,-0.0214,0.0423,0.0070,0.0023,-0.1810,0.0206,-0.2363,5.1427,1.0210,17.8075,7.9904,77.49,30.8978,6.8546,-18.5222,6.4100
hod0356,1,Singlet,2.6587,466.33,0.0119,H-L:0.875;H-L1:0.072,-0.0595,0.4122,-0.0990,0.1833,0.0057,-0.0401,0.0072,0.0017,-0.2430,-0.1371,-0.1962,15.6761,-14.1519,18.1454,6.5565,78.84,-10.2325,39.9700,-13.7292,5.3361
hod0357,1,Singlet,2.3058,537.7,0.0097,H-L:0.911,-0.3396,0.2239,0.0755,0.1711,0.0275,-0.0197,-0.0031,0.0012,-0.1060,-0.1845,-0.0531,9.5623,-10.8287,8.6974,2.4770,83.13,-25.4515,29.2127,2.8349,2.1987
hod0358,1,Singlet,2.6371,470.15,0.0235,H1-L:0.569;H-L:0.31,-0.1467,0.5596,-0.1684,0.3630,0.0134,-0.0526,0.0135,0.0031,-0.2035,-0.2336,-0.0186,35.4303,-16.8286,49.3133,22.6383,57.57,-21.1124,92.4461,-2.2125,23.0404
hod0359,1,Singlet,2.5011,495.71,0.0461,H1-L:0.489;H-L:0.42,0.4339,0.7507,0.0157,0.7521,-0.0383,-0.0677,0.0008,0.0061,-0.0640,0.0403,0.4793,21.8600,9.9711,-30.8738,0.3191,89.81,19.6345,-21.4128,-5.3322,-2.3702
hod0360,1,Singlet,2.7057,458.23,0.0119,H-L:0.678;H1-L:0.172,0.0712,-0.3886,-0.1511,0.1789,-0.0078,0.0393,0.0104,0.0017,-0.1797,0.1364,-0.1008,13.1717,-3.2878,30.7553,13.5464,56.03,9.0468,37.4839,-10.7674,11.9211
hod0361,1,Singlet,2.6133,474.44,0.0253,H-L:0.835;H1-L1:0.044,-0.2651,-0.5666,-0.0602,0.3949,0.0248,0.0545,0.0092,0.0037,0.0972,0.1779,-0.0965,31.7572,-1.6211,52.4526,27.5296,34.46,18.2159,71.2902,-4.1081,28.4660
